species_name,season,county,roc_auc,detection_rate,spatial_importance,n_train,n_test,model_path
Inca Dove,Fall,Neither,0.8307046863265286,0.3481073705507328,0.6635622156403669,34005,8502,models/combined\Inca_Dove_fall.pkl
Inca Dove,Spring,Neither,0.8247375500194651,0.3517495023794849,0.5833597272198299,79176,19795,models/combined\Inca_Dove_spring.pkl
Inca Dove,Summer,Neither,0.8702768027610696,0.18714379658044716,0.6478018347929486,14598,3650,models/combined\Inca_Dove_summer.pkl
Inca Dove,Winter,Neither,0.8283293542196096,0.3187131915563028,0.6797933254493322,81367,20342,models/combined\Inca_Dove_winter.pkl
Curve-billed Thrasher,Fall,Neither,0.8465327274147731,0.19862610864092972,0.7052104609597505,34005,8502,models/combined\Curve-billed_Thrasher_fall.pkl
Curve-billed Thrasher,Spring,Neither,0.8341055259188885,0.10919360216629113,0.7306122229180958,79176,19795,models/combined\Curve-billed_Thrasher_spring.pkl
Curve-billed Thrasher,Summer,Neither,0.8597603510969032,0.12505480052608506,0.6182628985883905,14598,3650,models/combined\Curve-billed_Thrasher_summer.pkl
Curve-billed Thrasher,Winter,Neither,0.8555778125320228,0.14005643551701422,0.7755381285933889,81367,20342,models/combined\Curve-billed_Thrasher_winter.pkl
Long-billed Dowitcher,Fall,Neither,0.9053307021819688,0.11998023854894488,0.8584627186464759,34005,8502,models/combined\Long-billed_Dowitcher_fall.pkl
Long-billed Dowitcher,Spring,Neither,0.9270470810083186,0.1570965232239747,0.9116157652284231,79176,19795,models/combined\Long-billed_Dowitcher_spring.pkl
Long-billed Dowitcher,Winter,Neither,0.9132920635485491,0.14255375630475178,0.8948119387881932,81367,20342,models/combined\Long-billed_Dowitcher_winter.pkl
Common Gallinule,Spring,Neither,0.8802632995002387,0.1654828181992705,0.8233250271357535,79176,19795,models/combined\Common_Gallinule_spring.pkl
House Finch,Fall,Neither,0.8994177755819467,0.12365022231632437,0.5889238057337921,34005,8502,models/combined\House_Finch_fall.pkl
House Finch,Spring,Neither,0.9101456672078715,0.10017075709046085,0.6219621402882431,79176,19795,models/combined\House_Finch_spring.pkl
House Finch,Summer,Neither,0.8611199399114484,0.2546580447172293,0.6646647454959014,14598,3650,models/combined\House_Finch_summer.pkl
Greater Yellowlegs,Fall,Neither,0.8917814021197036,0.10711176982614629,0.8605512944075878,34005,8502,models/combined\Greater_Yellowlegs_fall.pkl
Greater Yellowlegs,Winter,Neither,0.9088510957980396,0.12924126675122163,0.9049570452128065,81367,20342,models/combined\Greater_Yellowlegs_winter.pkl
Orange-crowned Warbler,Fall,Both,0.7902026315675362,0.43411673371444703,0.6011922333834527,34005,8502,models/combined\Orange-crowned_Warbler_fall.pkl
Orange-crowned Warbler,Spring,Both,0.7278131204984786,0.2070101342817593,0.5630999504748592,79176,19795,models/combined\Orange-crowned_Warbler_spring.pkl
Orange-crowned Warbler,Winter,Both,0.8123191652052062,0.5813939769341946,0.6286676308206588,81367,20342,models/combined\Orange-crowned_Warbler_winter.pkl
Blue-gray Gnatcatcher,Fall,Both,0.8381789110783546,0.5268779259886607,0.6543398646470354,34005,8502,models/combined\Blue-gray_Gnatcatcher_fall.pkl
Blue-gray Gnatcatcher,Spring,Both,0.7416428612904586,0.20829333845267806,0.6299718862746885,79176,19795,models/combined\Blue-gray_Gnatcatcher_spring.pkl
Blue-gray Gnatcatcher,Winter,Both,0.816411282937079,0.4495767336223933,0.6513638280976936,81367,20342,models/combined\Blue-gray_Gnatcatcher_winter.pkl
Ruby-crowned Kinglet,Fall,Both,0.7464747055473311,0.3355212082715788,0.578382681392771,34005,8502,models/combined\Ruby-crowned_Kinglet_fall.pkl
Ruby-crowned Kinglet,Spring,Both,0.7660223966118618,0.1380404360873387,0.5965117153186391,79176,19795,models/combined\Ruby-crowned_Kinglet_spring.pkl
Ruby-crowned Kinglet,Winter,Both,0.7552927383644469,0.43736542488865293,0.5851265217999241,81367,20342,models/combined\Ruby-crowned_Kinglet_winter.pkl
Northern Shoveler,Fall,Both,0.9178823842087298,0.22744489142964688,0.912806436644387,34005,8502,models/combined\Northern_Shoveler_fall.pkl
Northern Shoveler,Spring,Both,0.9302357991504727,0.22928938780046682,0.9197307527452925,79176,19795,models/combined\Northern_Shoveler_spring.pkl
Northern Shoveler,Winter,Both,0.9427671375094919,0.3396749550187299,0.9237187620485033,81367,20342,models/combined\Northern_Shoveler_winter.pkl
Couchs Kingbird,Fall,Both,0.7476819410875978,0.21490578022443363,0.6940326416910133,34005,8502,models/combined\Couchs_Kingbird_fall.pkl
Couchs Kingbird,Spring,Both,0.804897304924505,0.458275656505441,0.591669356071938,79176,19795,models/combined\Couchs_Kingbird_spring.pkl
