species_name,overall_detection_rate,total_detections,bexar_detection_rate,hidalgo_detection_rate,bexar_spatial_cv,hidalgo_spatial_cv,temporal_cv,tier,model_strategy,county_specialty
Inca Dove,0.32681546082200164,85441,0.036669970267591674,0.40320562070848376,1.1349441361186006,1.2583898864735528,0.25748070643967347,1A_SpatialSpecialist,model_spatial,Neither
Curve-billed Thrasher,0.13684854744009028,35777,0.0204272657196344,0.16750020536460675,3.7210917869450753,0.8356853246047536,0.2724217687366437,1A_SpatialSpecialist,model_spatial,Neither
Long-billed Dowitcher,0.13599173790808422,35553,0.030833608633410416,0.16367800762506704,3.751990589020805,1.796386330595445,0.550050272891727,1A_SpatialSpecialist,model_spatial,Neither
Common Gallinule,0.12079866888519135,31581,0.022170832874499873,0.14676562824657283,2.654276951310014,1.6882921087199978,0.4151564836476412,1A_SpatialSpecialist,model_spatial,Neither
House Finch,0.11025685160747413,28825,0.38815475534999816,0.03709126403123475,0.5924498449030582,1.6175000547504328,0.5408122837603513,1A_SpatialSpecialist,model_spatial,Neither
Greater Yellowlegs,0.10223956241513187,26729,0.04907682707484491,0.11623636741419384,2.1366411483345185,1.7121545789486985,0.4820360072523212,1A_SpatialSpecialist,model_spatial,Neither
Orange-crowned Warbler,0.3751372234016103,98074,0.1747604889329369,0.42789286249269143,0.5545017298241824,0.8913186294121486,0.8356561518140876,1B_SeasonalSpecialist,model_seasonal,Both
Blue-gray Gnatcatcher,0.34604012469638723,90467,0.12968468964504642,0.4030026721559418,0.8682247870312886,0.9508086945810517,0.6324184202091288,1B_SeasonalSpecialist,model_seasonal,Both
Ruby-crowned Kinglet,0.2769636812209536,72408,0.23807950666226185,0.28720119449719494,0.4664140644205831,1.0712725553057874,0.8614943982949954,1B_SeasonalSpecialist,model_seasonal,Both
Northern Shoveler,0.257758142559336,67387,0.10476085599970635,0.29803961362461284,1.9962318654407436,1.5114152097940095,0.6352530557923194,1B_SeasonalSpecialist,model_seasonal,Both
Couchs Kingbird,0.249519000898885,65233,0.07267922035018169,0.2960777776167075,1.119405144824486,0.7957932822059187,0.6712033371054414,1B_SeasonalSpecialist,model_seasonal,Both
Yellow-rumped Warbler,0.2108669458947731,55128,0.19984950262452741,0.21376764323577307,0.569258506060746,1.1000798283492108,0.9987979493099093,1B_SeasonalSpecialist,model_seasonal,Both
Northern House Wren,0.17975404976380363,46994,0.0565099291561135,0.2122020401161639,0.8289113466431024,0.9902860488462648,0.9097205487593316,1B_SeasonalSpecialist,model_seasonal,Both
